GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
RecipeStore,com.bae,RecipeStoreApp,5,3,0,0,2,1,1,1,1,1
RecipeStore,com.bae.persistence.domain,Category,54,54,9,7,12,19,9,8,2,7
RecipeStore,com.bae.persistence.domain,Ingredients,54,54,9,7,12,20,9,8,2,7
RecipeStore,com.bae.persistence.domain,Recipe,86,187,18,12,21,50,15,21,1,20
RecipeStore,com.bae.exceptions,CategoryNotFound,3,0,0,0,1,0,1,0,1,0
RecipeStore,com.bae.exceptions,IngredientNotFound,3,0,0,0,1,0,1,0,1,0
RecipeStore,com.bae.exceptions,InvalidEntryException,0,3,0,0,0,1,0,1,0,1
RecipeStore,com.bae.exceptions,RecipeNotFound,3,0,0,0,1,0,1,0,1,0
RecipeStore,com.bae.service,CategoryService,12,111,4,12,3,24,4,11,0,7
RecipeStore,com.bae.service,RecipeService,54,173,9,27,12,37,11,16,2,7
RecipeStore,com.bae.service,IngredientsService,12,111,4,12,3,24,4,11,0,7
RecipeStore,com.bae.rest,CategoryController,0,31,0,0,0,9,0,6,0,6
RecipeStore,com.bae.rest,RecipeController,12,31,0,0,2,9,2,6,2,6
RecipeStore,com.bae.rest,IngredientsController,0,31,0,0,0,9,0,6,0,6
